Food_Name|Food_Name_en|Ingredient|Ingredient_en|Amount
鹿肾羹|Deer’s Kidney Gruel|鹿肾|Deer’s kidney|one; remove the fatty tissue and slice
枸杞羊肾粥|Chinese Matrimony Vine Fruit and Sheep’s Kidney Congee|茎|mutton|half a jin; roast
枸杞羊肾粥|Chinese Matrimony Vine Fruit and Sheep’s Kidney Congee|葱白|spring onions|one stalk
枸杞羊肾粥|Chinese Matrimony Vine Fruit and Sheep’s Kidney Congee|羊肾|sheep’s kidney|two; finely cut up
枸杞羊肾粥|Chinese Matrimony Vine Fruit and Sheep’s Kidney Congee|枸杞叶|Chinese matrimony vine fruits|one jin
猪肾粥|Pig Kidney Congee|缩砂|grain-of-paradise|two qian
猪肾粥|Pig Kidney Congee|陈皮|prepared mandarin orange peel|one qian; remove white
猪肾粥|Pig Kidney Congee|草果|tsaoko cardamom|three
猪肾粥|Pig Kidney Congee|粳米|non-glutinous rice|three ho
猪肾粥|Pig Kidney Congee|猪肾|Pig kidney|one, remove fatty tissue and slice
白羊肾羹|White Sheep Kidney Gruel|草果|tsaoko cardamom|one qian
白羊肾羹|White Sheep Kidney Gruel|荜拨|long pepper|two qian
白羊肾羹|White Sheep Kidney Gruel|陈皮|prepared mandarin orange peel|one qian; remove white
白羊肾羹|White Sheep Kidney Gruel|胡椒|black pepper|two qian
白羊肾羹|White Sheep Kidney Gruel|羊脂|sheep’s fat|four liang; cut into slices
白羊肾羹|White Sheep Kidney Gruel|肉苁蓉|broomrape|one liang; soak in liquor and cut
白羊肾羹|White Sheep Kidney Gruel|白羊肾|White sheep’s kidney|two; cut into slices
羊脊骨粥|Sheep’s Spine Gruel|荜拨|long pepper|two qian
羊脊骨粥|Sheep’s Spine Gruel|草果|tsaoko cardamom|three
羊脊骨粥|Sheep’s Spine Gruel|肉苁蓉|broomrape|one liang; wash and cut into slices
羊脊骨粥|Sheep’s Spine Gruel|羊脊骨|Sheep’s spine|one complete; broken up
羊骨粥|Sheep Bone Congee|盐|salt|a little
羊骨粥|Sheep Bone Congee|生姜|fresh ginger|one liang
羊骨粥|Sheep Bone Congee|草果|tsaoko cardamom|two
羊骨粥|Sheep Bone Congee|良姜|lesser galangal|two qian
羊骨粥|Sheep Bone Congee|陈皮|prepared mandarin orange peel|one qian; remove white
羊骨粥|Sheep Bone Congee|羊骨|Sheep’s bones|an entire set; broken up
羊藏羹|Sheep Entrails Gruel|茎|lesser galangal|two qian
羊藏羹|Sheep Entrails Gruel|葱|prepared mandarin orange peel|two qian; remove white
羊藏羹|Sheep Entrails Gruel|草果|salted fruits|one he
羊藏羹|Sheep Entrails Gruel|良姜|long pepper|one liang
羊藏羹|Sheep Entrails Gruel|陈皮|black pepper|one liang
羊藏羹|Sheep Entrails Gruel|豉|cow’s [milk] cheese|one liang
羊藏羹|Sheep Entrails Gruel|荜拨|heart and lung|one each; wash in hot water
羊藏羹|Sheep Entrails Gruel|胡椒|kidney|
羊藏羹|Sheep Entrails Gruel|牛酥|stomach|
羊藏羹|Sheep Entrails Gruel|羊肝、肚、肾、心、肺|Sheep’s liver|
羊蜜膏|Lamb Honey Paste|生地黄汁|juice of sprouting Chinese foxglove|one he
羊蜜膏|Lamb Honey Paste|生姜汁|juice of sprouting ginger|one he
羊蜜膏|Lamb Honey Paste|白沙蜜|crystallized honey|five liang; refine
羊蜜膏|Lamb Honey Paste|熟羊髓|cooked sheep’s marrow|five liang
羊蜜膏|Lamb Honey Paste|熟羊脂|Cooked sheep’s fat|five liang
生地黄鸡|Sprouting Chinese Foxglove Chicken|乌鸡|and black chicken|one
生地黄鸡|Sprouting Chinese Foxglove Chicken|饴糖|sweetmeats|five liang
生地黄鸡|Sprouting Chinese Foxglove Chicken|生地黄|Sprouting Chinese foxglove|half a jin
