Food_Name_en|Effect_en|Ingredients_en|Steps_en
Willow–Steamed Lamb||A sheep (one; with hair).|[For] ingredient construct a brazier on the ground three qi deep. Surround with stones. Heat the stones until red hot. Use a tabaq to hold the lamb. On top use willow [branches] to cover and seal with earth. Cook until done.
Quick Manta||Mutton, mutton fat, onions, sprouting ginger, prepared mandarin orange peel (cut up each finely).|[To] ingredients add spices, salt and sauce, and combine into stuffing.
Deer Milk Fat 105 Manta (One can [also] perhaps make “Quick Manta,” or perhaps “Thin–skin Manta,” Both are possible.)||[Dried] deer milk fat, sheep’s tail (cut up each into slices like finger nails), sprouting ginger, prepared mandarin orange peel. (Cut up each finely.)|[To] ingredients add spices, and salt, and combine to make stuffing.
Eggplant Manta||Mutton, sheep’s fat, sheep’s tail, onions, prepared mandarin orange peel (cut up each finely), “tender” eggplant (remove the pith).|[For] combine ingredients with meats into a stuffing. But [instead of making a dough covering] put it inside the eggplant [skin] and steam. Add garlic, cream [or yogurt etc.], finely ground mint [or basil]. Eat.
Cut Flowers Manta||Mutton, sheep’s fat, sheep’s tail, onions, prepared mandarin orange peel. (Cut up each finely.)|[To] ingredients add, according to recipe, spices, salt and sauce. Make the stuffing. Form the Manta. Use scissors to cut out into various flower shapes. Steam. Use safflower to dye the flowers.
Quartz Horns||Mutton, sheep’s fat, sheep’s tail, onions, prepared mandarin orange peel, sprouting ginger. (Cut up each finely.)|[To] ingredients add fine spices, salt and sauce and mix [everything] together uniformly. Use bean paste to make skins. Make the horns.
Butter Skin Yubqa||Mutton, sheep’s fat, sheep’s tail, onions, prepared mandarin orange peel, sprouting ginger. (Cut up each finely. One can perhaps add jha’uqasu[n]. This is a kind of lily root.)|[To] ingredients add spices, salt, and sauce and mix [everything] together uniformly. Use vegetable oil, rice flour and [white wheat] flour, combine to make the skins
Päräk Horns||Mutton, sheep’s fat, sheep’s tail, young leeks. (Cut up each finely).|[To] ingredients add spices, salt, and sauce and mix [everything] together uniformly. Use white flour to make the skins. Bake on a flat iron. When done, then use liquid butter and honey. Perhaps one can use pear–shaped bottle gourd meat to make stuffing. This is also possible.
Shilön Horns||Mutton, sheep’s fat, sheep’s tail, onions, prepared mandarin orange peel, sprouting ginger. (Cut each up finely).|[To] ingredients add spices, salt and sauce and mix [everything] together uniformly. Take white flour, honey and vegetable oil and mix together. Put into boiling water in a cauldron. When cooked make skins.
Pleurotus ostreatus [Mushroom] Baozi (Some make them from crab spawn. This is also possible. Wisteria Baozi is entirely the same.)||Mutton, sheep’s fat, sheep’s tail, onions, prepared mandarin orange peel, sprouting ginger. (Cut up each finely), Pleurotus ortreatus [mushrooms] (Scald in boiling water. When cooked, clean and cut up finely.)|[To] ingredients add spices, salt, sauce and make stuffing. [Use] white flour to make a thin skin. Steam.
Qurim “Bonnets” [i.e., boqtas]||Mutton (three legs; cut up.), sheep’s tail (two; cut up.), euryale seeds, 109 (eight liang) pine pollen (eight liang), badam [almonds] (four liang), möög [mushrooms] (eight liang), apricot kernel paste (one chin), walnuts (eight liang), pistä nuts [Pistachio nuts] (four liang), safflower (one liang), fruit of Gardenia jasminoides (four qian), vegetable oil (two jin), sprouting ginger (eight liang), bean paste (four jin), Chinese yams (three jin), eggs (30), sheep’s stomach and lungs (two sets each), [and] [sheep’s] bitter bowel (one), onions (four liang), vinegar (half a bottle), coriander leaves.|[For] ingredients [except pine pollen juice and the bean paste] use salt. Adjust flavors evenly with sauce and the five spices. Use bean paste to make skins. Steam in cups. Apply pine pollen juice and eat.
Poppy Seed Buns||White flour (five jin), cow’s milk (two sheng), liquid butter (one jin), poppy seeds (one liang. Slightly roasted).|[For] ingredients use salt and a little soda and combine with the flour. Make the buns.
Cow’s Milk Buns||White flour (five jin), cow’s milk (two sheng), liquid butter (one jin), fennel (one liang. Slightly roasted).|[For] ingredients use salt and a little soda and combine with the flour. Make the buns.

