Food_Name,Effect,Ingredients,Steps
服松子,《列仙传》：健康的人吃松子后，可以变得轻盈，行动如奔马一般。《神仙传》说：松子不需要多少，将其研磨成膏状，空腹时用温酒一匙下咽，一天服用三次，不会感到饥渴。长期服用后，可以行走五百里，身体变得轻盈健康。,,
服松节酒,《神仙传》：能够治疗各种疼痛，长期的虚弱和脚部疼痛。将松节用来酿制酒，服用后有神奇的效果。,,
服槐实,《神仙传》：将槐实浸泡在牛胆中，然后在阴凉处晾干，每天吞食一颗，十天后身体变得轻盈，二十天后头发重新变黑，一百天后能够通达神明。,,
服枸杞,《食疗》提到，枸杞叶可以强化筋骨，去风，滋补虚弱，增加阳气。春夏秋季采摘叶子，冬季采摘果实，长期食用有益。,,
服莲花,太清本草书说，每年七月七日采莲花七分，八月八日采莲根八分，九月九日采莲子九分，晾干后食用，可以使人保持年轻，不变老。,,
服栗子,《食疗》提到，如果肾气虚弱，可以取生栗子，将其晾干，每天空腹咀嚼三到五颗，然后缓慢吞咽。,,
服黄精,神仙服用黄精后成为地仙：很久以前，有一位来自临川的士人，虐待了他的婢女，婢女逃到山中。在山中，她发现了一种野草，叶子和树枝看起来很美味，于是她取下并食用，非常美味。从那时起，她常吃这种野草，不再感到饥饿，身体变得轻盈健康。在夜晚，她能够听到草地上传来的声音，误以为是老虎，感到害怕，于是爬上大树躲避，直到天亮再下来。当她下来后，她的身体感到轻盈，能够飞向山顶，就像一只飞鸟一样。数年后，她的身体变得更加豁然，甚至能够飞翔到山峰之巅，就像神仙一样。数年后，有人发现了她，告诉了她的主人，后者试图捕捉她，但没有成功。婢女告诉他们，她的秘密就是黄精。黄精可以调和体内能量，滋养五脏六腑，强壮筋骨，延年益寿，让人容光焕发，头发变黑，齿落重生。,,
神枕法,在汉武帝巡游泰山时，他看到一位老者在路边锄地，老者的背上发出白光，高达数尺。帝皇感到好奇，问老者是否懂得什么道术。老者回答说：“我在八十五岁时，年老体衰，头发白了，牙齿也脱落了。有一位道士教我服用枣、不吃谷物，并教我使用一种神奇的枕头，其中包含了三十二种草药。其中二十四种对身体有益，可以抵抗二十四种不同的疾病，而另外八种有毒，可以抵御八种不同的风寒。我服用后，年轻起来，头发重新生长，行走三百里。我现在已经一百八十岁了，不愿离开世界，也不再需要进山修炼，但仍然能够获得神奇的力量，不需要再吃谷物和喝水。”武帝皇帝听后，让老者传授了他的方法，但自己无法完全戒谷，不再吃谷物，也不再喝水。,神枕方：用五月五日，七月七日，取出林柏以为枕。长一尺二寸，高四寸，空中容一斗二升，以柏心赤者为盖，浓二分，盖致之令密，又使开闭也。又钻盖上为三行，每行四十九孔，凡一百四十七孔，令容粟大。用下项药：芎 当归 白芷 辛荑 杜衡 白术 本 木兰 蜀椒 桂 乾姜 防风  人参桔梗 白薇 荆实 肉苁蓉 飞廉 柏实 薏苡仁 款冬花 白衡 秦椒 麋芜凡二十四物，以应二十四气。乌头 附子 藜芦 皂角 菵草 凡石 半夏 细辛八物毒者，以应八风。,这个药方包括三十二种药材，每种用量一两，都需要咀嚼。将这些药材放在枕头下，用袋子装好放在枕头下。经过百日，你会发现脸上有光泽，一年内身体不再有疾病，每一种疾病都会逐渐好转，身体会变得更加健康。四年后，白发会变黑，失去的牙齿会重新生长，视力和听力也会变得更加敏锐。这是一种神奇的秘方，不随意传授，只传给那些配得上的人。汉武帝曾向东方朔询问，他回答说：古时女廉传授这个秘方给玉青，玉青传给广成子，广成子传给黄帝。近来，谷城的道士淳于公使用这种药物枕头，枕用百余年而头发不变白。人体的疾病通常起源于阳气的问题，现在使用这个药物作为枕头，可以避免风邪的侵袭。即使使用布袋来包裹枕头，还要再用帏囊来重重包裹，只有在想要入睡时才能取下。皇帝赏赐老翁帛布，但老翁不接受，他说：臣之对待陛下，就像儿子对待父亲一样，儿子明白应该以道德行为报答父亲，不需要接受赏赐。再者，臣并非卖道之人，只是因为陛下喜爱善行，所以才献上这个药方。皇帝听后，停止了赐予，并再次赐予其他药物。
服菖蒲,《神仙服食》中提到，菖蒲的九节，经过晒干百日，制成粉末，每天服用三次，长期服用可以使人变得聪明，视力和听力更加敏锐，身体健康。《抱朴子》也提到，韩聚服用菖蒲十三年后，全身开始生毛，每天背诵万言，即使在寒冷的冬天裸体也不感到寒冷。,,
服胡麻,《神仙服食》中提到，胡麻食用后，可以治愈各种顽疾，长期服用可以使人强壮、健康，增加寿命，使肥胖的人变得苗条，可以抵御一切疾病。,,
服五味,《抱朴子》中说，服用五味（一种药物）十六年后，面色如同玉石，不会被火烧伤，也不会被水弄湿。,,
服藕实,《食医心镜》中提到，藕实的味道甘美而温和，没有毒性。长期服用可以调理胃肠，滋养气血，提高精神，除去各种疾病，令人免受口渴的困扰。,,
服莲子莲蕊,《日华子》指出，莲子经去心，长期食用可以使人心情愉快，增加气力，除去口渴。莲花蕊长期食用可以镇定心神，改善肤色，使人容光焕发。,,
服何首乌,《日华子》中提到，何首乌的味道甘甜，没有毒性。长期食用可以增强筋骨，滋补精髓，使黑发再次生长，让人可以生育后代。,,
