Food_Name,Effect,Ingredients,Steps
柳蒸羊,,羊 一口，带毛,上述食材，制作一个深度为三尺的土炉，用石块围绕炉底，烧至通红。将铁块放在土炉上，然后用柳叶覆盖，用土封好，以熟为度。
仓馒头,,羊肉 羊脂 葱 生姜 陈皮 各切细,上述食材，将食材、盐和酱混合制成馅料。
鹿奶肪馒头,可以制作成仓馒头，也可以做皮薄的馒头。,鹿奶肪 羊尾子 各切如指甲片  生姜 陈皮 各切细,上述食材，将食材和盐混合制成馅料。
茄子馒头,,羊肉 羊脂 羊尾子 葱 陈皮 各切细  嫩茄子 去穣,上述食材，将食材与肉混合成馅料，然后将其填入茄子中，蒸熟后，加入蒜酪和香菜末，即可享用。
剪花馒头,,羊肉 羊脂 羊尾子 葱 陈皮 各切细,上述食材，按照规定，将食材、盐和酱混合，包在馒头中，用剪刀剪出各种花样，然后蒸熟，最后用胭脂染上花纹。
水晶角儿,,羊肉 羊脂 羊尾子 葱 陈皮 生姜 各切细,上述食材，将细碎的食材、盐和酱混合匀，用豆粉包裹成皮。
酥皮奄子,,羊肉 羊脂 羊尾子 葱 陈皮 生姜 各切细或下瓜哈孙系山丹根,上述食材，将食材、盐和酱混合，然后用小油和米粉混合面团，制成皮。
撇列角儿,,羊肉 羊脂 羊尾子 新韭 各切细,上述食材，将食材、盐和酱混合，用白面制成皮，先烘烤熟，然后用酥油、蜜糊，或者用葫芦瓠子制成馅，也可。
莳萝角儿,,羊肉 羊脂 羊尾子 葱 陈皮 生姜 各切细,上述食材，将食材、盐和酱混合，用白面、蜜和少许油混合，放入锅中，用滚水搅拌至熟透，制成皮。
天花包子,也可以用蟹黄制作，藤花包子一同制作。,羊肉 羊脂 羊尾子 葱 陈皮 生姜 各切细  天花 滚水烫熟，洗净，切细,上述食材，将食材、盐和酱混合成馅料，用白面制成薄皮，然后蒸熟。
荷莲兜子,,羊肉 三脚子，切  羊尾子 二个，切  鸡头仁 八两  松黄 八两  八檐仁 四两  蘑菇 八两  杏泥 一斤  胡桃仁 八两  必思答仁 四两  胭脂 一两  栀子 四钱  小油 二斤  生姜 八两  豆粉 四斤  山药 三斤  鸡子 三十个  羊肚肺 各二副 苦肠 一副  葱 四两  醋 半瓶  芫荽叶,上述食材，用盐、酱和五味混合匀，用豆粉制成皮，放入盏中蒸熟，再用松黄汁浇在上面。
黑子儿烧饼,,白面 五斤  牛奶子 二升  酥油 一斤  黑子儿 一两，微炒,上述食材，用盐和少量的酱，混合面团，制成烧饼。
牛奶子烧饼,,白面 五斤  牛奶子 二斤  酥油 一斤  茴香 一两，微炒,上述食材，用盐和少量的酱，混合面团，制成烧饼。
