Food_Name_en|Effect_en|Ingredients_en|Steps_en|Food_Name|Effect|Ingredients|Steps
Sprouting Chinese Foxglove Congee|It cures asthenia of hectic fever due to yin-deficiency, general fatigue, gradual emaciation, and vexation causing insomnia.|Sprouting Chinese foxglove juice (one he), sour jujubes ([use] water, twist [in a bag] and obtain the juice; two wine cups [full]).|Decoct ingredients together by boiling in water. Bring to a boil several times. Then add three he of rice. Cook into a congee. Take on an empty stomach.|生地黄粥|治虚弱骨蒸，四肢无力，渐渐羸瘦，心烦不得睡卧。|生地黄汁 一合  酸枣仁 二两，水绞，取汁二盏|上件，水煮同熬数沸，次下米三合煮粥，空腹食之。
Chinese Flower Pepper Dough Gruel|It cures asthenia of spleen and stomach, chronic chill qi, pain of chest and abdomen stagnation, and vomiting and inability to keep down food.|Chinese flower pepper (three qian; roast and make into a powder), flour (four liang).|Mix ingredients together uniformly. Add a little salt. Make flour dough strips on fermented black beans.63 Boil into a Gruel and eat.|椒面羹|治脾胃虚弱，久患冷气，心腹结痛，呕吐不能下食。|川椒 三钱，炒，为末  白面 四两|上件同和匀，入盐少许，于豆豉作面条，煮羹食之。
Long Pepper Congee|It cures asthenia of spleen and stomach, intense chill-qi pain of chest and abdomen, and inability to eat due to obstructed listlessness.|Long pepper (one liang), black pepper (one liang), cassia (five qian).|Make a fine powder of ingredients. Use three qian for each three large cups of water. Add half a he of fermented black beans. Boil together until cooked. Remove the dregs. Add three he of rice and make a congee. Eat on an empty stomach.|荜拨粥|治脾胃虚弱，心腹冷气 痛，妨闷不能食。|荜拨 一两  胡椒 一两  桂 五钱|右三味为末。每用三钱，水三大碗，入豉半合，同煮令熟，去滓，下米三合作粥，空腹食之。
Lesser Galangal Congee|It cures chill pain of chest and abdomen, abdominal mass indigestion.|Lesser galangal (half a liang; make into fine powder), non-glutinous rice (three he).|[For] ingredient [i.e., the galangal] use three large cups of water. Boil the lesser galangal down to two cups. Remove the dregs. Add the rice, boil into a congee and eat. It is of proven efficacy.|良姜粥|治心腹冷痛，积聚，停饮。|高良姜 半两，为末  粳米 三合|上件，水三大碗 煎高良姜至二碗，去滓，下米煮粥，食之效验。
Evodia Fruit Congee|It cures chilled qi perversity of chest and abdomen, [and] rib pain.|Evodia fruits (half a liang; wash with water and remove the effusion. Dry, roast and make fine a powder).|Make ingredient into a congee with three he of rice. Eat on an empty stomach.|吴茱萸粥|治心腹冷气冲胁肋痛。|吴茱萸 半两，水洗，去涎，焙乾，炒，为末|上件，以米三合，一同作粥，空腹食之。
Dried Beef|It cures chronic chill of spleen and stomach, compulsive drinking and eating.|Beef (five jin; remove fat and membrane, cut up into large strips.), black pepper (five qian), long pepper (five qian), prepared mandarin orange peel (two qian; remove white), tsaoko cardamom (two qian), grain-of-paradise (two qian), lesser galangal (two qian).|Make a fine powder of ingredients. Combine evenly with the meat, five ho of sprouting ginger juice, one he of onion juice, four liang of salt. Let sit for two days, remove meat and dry over a fire until dried. Eat as desired.|牛肉脯|治脾胃久冷，不思饮食。|牛肉 五斤，去脂膜，切作大片  胡椒 五钱  荜拨 五钱  陈皮 二钱，去白 草果 二钱  缩砂 二钱  良姜 二钱|上件为细末，生姜汁五合，葱汁一合，盐四两，同肉拌匀，淹二日，取出焙乾，作脯，任意食之。
Lotus Seed Congee|It cures disrepose of heart and will. It supplements the center and strengthens the will. It makes ear and eye quick and sharp.|Lotus seeds (one sheng; remove hearts).|Cook ingredient. When done grind up into a paste-like substance. Make a congee with three he of non-glutinous rice. Eat on an empty stomach.|莲子粥|治心志不宁。补中强志，聪明耳目。|莲子 一升，去心|上件煮熟，研如泥，与粳米三合，作粥，空腹食之。
Euryale Fruits Congee|It cures insufficiency of primary vitality qi. It strengthens the will. It makes sharp ear and eye.|Euryale fruits (three he).|Cook ingredients. When done grind up into a paste-like substance. Boil into a congee with one he of non-glutinous rice. Eat.|鸡头粥|治精气不足，强志，明耳目。|鸡 头实 三合|上件煮熟，研如泥，与粳米一合，煮粥食之。
Euryale Fruits Gruel Powder|It cures arthralgia chiefly caused by wetness-evil, pain of waist and knee. It gets rid of sudden, violent illnesses. It increases primary vitality qi and strengthens heart and will. It makes ear and eye quick and sharp.|Euryale fruits (grind into a powder), sheep’s spine (one set, with meat. Decoct. Take the juice).|[For] ingredient use one he of juice of sprouting ginger. Add the five spices. Flavor evenly. Eat on an empty stomach.|鸡头粉羹|治湿痹，腰膝痛。除暴疾，益精气，强心志，耳目聪明。|鸡头 磨成粉  羊脊骨 一副，带肉，熬取汁|上件，用生姜汁一合，入五味调和，空心食之。
Peach Seed Congee|It cures pain of chest and abdomen, abnormal-rising-of-lung-qi-cough, obstruction filling up of the diaphragm, and rapid respiration.|Peach seeds (three liang; cook in broth. When done remove the ends and skin. Grind).|Take the juice of the ingredient, combine with non-glutinous rice and make into congee. Eat on an empty stomach.|桃仁粥|治心腹痛，上气咳嗽，胸膈妨满，喘急。|桃仁 三两，汤煮熟，去尖、皮，研|上件取汁，和粳米同煮粥，空腹食之。
Sprouting Chinese Foxglove Congee|It cures xulao disease wasting away, hectic fever, alternating episodes of chills and fevers, and coughing up of blood.|Juice of sprouting Chinese foxglove (two he).|Boil a white congee of ingredient. When it is nearly done add the juice of sprouting Chinese foxglove and combine evenly. Eat on an empty stomach.|生地黄粥|治虚劳，瘦弱，骨蒸，寒热往来，咳嗽唾血。|生地黄汁 二合|上件，煮白粥，临熟时入地黄汁，搅匀，空腹食之。
Bream Gruel|It cures asthenia of spleen and stomach, leaking diarrhea from which one does not recover for a long time. If it is eaten there is immediate effect.|Large bream (two jin), large garlic (two chunks), black pepper (two qian), Chinese flower pepper (two qian), prepared mandarin orange peel (two qian), grain-of-paradise (two qian), long pepper (two qian).|[Of] ingredients put onions, sauce, salt, spices, and garlic into the intestinal cavity of the fish and decoct. When done make a gruel. [Add] the five spices. Flavor evenly. Eat on an empty stomach.|鲫鱼羹|治脾胃虚弱，泄痢，久不瘥者，食之立效。|大鲫鱼 二斤  大蒜 两块  胡椒 二钱  小椒 二钱  陈皮 二钱  缩砂 二钱  荜拨 二钱|上件，葱、酱、盐、料物、蒜，入鱼肚内，煎熟作羹，五味调和令匀，空心食之。
Roasted Yellow Flour|It cures leaking diarrhea and looseness of intestine and stomach.|White flour (one jin; roast, scorch yellow).|Each day take a spoonful of ingredient mixed with warm water on an empty stomach.|炒黄面|治泄痢，肠胃不固。|白面 一斤，炒令焦黄|上件，每日空心温水调一匙头。
Cheese Flour|It cures asthenia of spleen and stomach, and reddish and whitish leaking diarrhea.|Cheese (one; cut up into bean-sized pieces).|Mix ingredient with flour and cook. When done eat on an empty stomach.|乳饼面|治脾胃虚弱，赤白泄痢。|乳饼 一个，切作豆子样|上件，用面拌煮熟，空腹食之。
Broiled Yellow Chicken|It cures asthenia-weakness of spleen and stomach diarrhea.|Yellow hen (one; pluck and clean).|[Of] ingredients, combine together evenly: salt, sauce, vinegar, fennel, fine Chinese flower pepper powder. Brush onto the chicken. Roast until dry and scorched on coals. Eat on an empty stomach.|炙黄鸡|治脾胃虚弱，下痢。|黄雌鸡 一只， 净|右以盐、酱、醋、茴香、小椒末同拌匀，刷鸡上，令炭火炙乾焦，空腹食之。
Method for Cow’s Milk Decocted Long Pepper|||During the Zhenguan period [of Tang, 627-50], Taizong [r. 627- 50] was suffering from dysentery. The various doctors were una- ble to treat it successfully. The emperor asked his courtiers [sayng] that whoever could cure the disease would be heavily rewarded. At that time there was a gentlemen with special ability who advanced this method. He employed cow’s milk to decoct long pepper. The emperor took it. It was immediately beneficial.|牛奶子煎荜拨法|贞观中，太宗苦于痢疾，众医不效，问左右能治愈者，当重赏。时有术士进此方：用牛奶子煎荜拨，服之立瘥。||
Chinese Badger Meat Gruel|It cures edema, surface qi syndrome, abdominal distension, and difficulty in urination.|Chinese badger meat (one jin; cut up finely), onions (a handful), tsaoko cardamoms (three).|Cook ingredients together using Chinese flower pepper and fermented black beans. When overcooked add one he of non-glutinous rice and make a gruel. Flavor evenly with the five spices. Take on an empty stomach.|肉羹|治水肿，浮气，腹胀，小便涩少。|肉 一斤，细切  葱 一握  草果 三个|上 件，用小椒、豆豉，同煮烂熟，入粳米一合作羹，五味调匀，空腹食之。
Yellow Hen|It cures abdomen water indigestion and edema.|Yellow hen (one; pluck and clean), tsaoko cardamom (two qian), adzuki beans [“Red Small Beans”] (one sheng).|Cook ingredients together. When done eat on an empty stomach.|黄雌鸡|治腹中水癖，水肿。|黄雌鸡 一只， 净  草果 二钱  赤小豆 一升|上件，同煮熟，空心食之。
Green[-headed] Duck [Male Mallard] Gruel|It cures the ten water swelling illnesses from which one does not recover.|Green-headed duck (one, skin and clean), tsaoko cardamoms (five).|[For] ingredient put half a sheng of adzuki beans into the intestinal cavity of the duck. Cook. When done flavor with the five spices. Eat on an empty stomach.|青鸭羹|治十种水病不瘥。|青头鸭 一只，退净  草果 五个|上件，用赤小豆半升，入鸭腹内煮熟，五味调，空心食。
Chinese Radish Congee|It cures diabetes, scorched tongue and dry mouth and frequent urination.|Large Chinese radish (five; cook. When done twist [in a bag] to get the juice).|[As] ingredients take three he of non-glutinous rice and water and combine with the juice. Boil into a congee. Eat.|萝卜粥|治消渴，舌焦，口乾，小便数。|大萝卜 五个，煮熟，绞取汁|上件，用粳米三合，同水并汁，煮粥食之。
Pheasant Gruel|It cures diabetes and dry mouth and frequent urination.|Pheasant (one; pluck and clean).|[To] ingredient add the five spices according to the normal method. Make a gruel-meat broth. Eat.|野鸡羹|治消渴，口乾，小便频数。|野鸡 一只， 净|右入五味，如常法作羹 食之。
Pigeon Gruel|It cures diabetes and excessive drinking of water.|White pigeon (one; cut up into large slices).|Cook ingredient with *tosu[n] [fat, grease]. When done eat on an empty stomach.|鹁鸽羹|治消渴，饮水无度。|白鹁鸽 一只，切作大片|上件，用土苏一同煮熟，空腹食之。
Egg Yolk|It cures urine that does not pass.|Egg yolk (one; use fresh).|Take ingredient. Do not take more than three times. It can also be eaten cooked.|鸡子黄|治小便不通。|鸡子黄 一枚，生用|上件，服之不过三服，熟亦可食。
Chinese Mallow Gruel|It cures urine which is retained and does not pass.|Mallow leaves. (It does not matter if they are many or few. Wash, select and clean.)|Boil ingredient into a gruel. Add the five spices. Eat on an empty stomach.|葵菜羹|治小便癃闭不通。|葵菜叶 不以多少，洗择净|右煮作羹，入五味，空腹食之。
Carp Soup|It cures diabetes and edema, jaundice and [evil] foot qi.|Large carp (one), adzuki beans (one he), prepared mandarin orange peel (two qian; remove white), Chinese flower pepper (two qian), tsaoko cardamom (two qian).|[To] ingredients add the five spices and flavor evenly. Cook. When done eat on an empty stomach.|鲤鱼汤|治消渴，水肿，黄胆，脚气。|大鲤鱼 一头  赤小豆 一合  陈皮 二钱，去白  小椒 二钱  草果 二钱|上件，入五味，调和匀，煮熟，空腹食之。
Purslane [Portulaca oleracea] Congee|It cures [evil] foot qi, edema of head and face, swelling of chest and abdomen, and dripping discharge of urine.|Purslane. (Wash clean. Take the juice.)|Boil ingredient into a congee combined with non-glutinous rice. Eat on an empty stomach.|马齿菜粥|治脚气，头面水肿，心腹胀满，小便淋涩。|马齿菜 洗净，取汁|上件，和粳米同煮粥，空腹食之。
Wheat Congee|It cures diabetes and dry mouth.|Wheat. (Scour clean. It does not matter if a lot or little is used.)|Boil ingredient into a congee. It can perhaps also be steamed as cooked food. Eat it on an empty stomach.|小麦粥|治 消渴，口乾。|小麦 淘净，不以多少|右以煮粥，或炊作饭，空腹食之。
Donkey’s Head Gruel|It cures apoplexy-vertigo, debility of hand and foot, annoying pain of extremities, and trouble in speaking.|Black donkey’s head (one; remove hair and wash clean), black pepper (two qian), tsaoko cardamom (two qian).|Cook ingredients until overcooked. Add the five spices in fermented black bean juice. Flavor with the spices. Flavor evenly. Eat on an empty stomach.|驴头羹|治中风头眩，手足无力，筋骨烦痛，言语蹇涩。|乌驴头 一枚， 洗净  胡椒 二钱  草果 二钱|上件，煮令烂熟，入豆豉汁中，五味调和，空腹食之。
Donkey’s Meat Soup|It cures wind mania and depression and pacifies heart qi.|Meat of a black donkey. (The quantity does not matter. Cut up.)|Cook ingredient until overcooked in fermented black beans. When done add the five spices. Eat on an empty stomach.|驴肉汤|治风狂，忧愁不乐，安心气。|乌驴肉 不以多少，切|上件，于豆豉中，烂煮熟，入五味，空心食之。
Fox Meat Gruel|It cures infantile convulsion epilepsy, spiritual confusion, indistinct speech, and inappropriate [unmeasured] singing and laughing.|Fox meat. (The quantity does not matter. Include organ meat.)|[To] ingredient add the five spices according to regular method. Cook until overcooked. When done eat on an empty stomach.|狐肉羹|治惊风，癫痫，神情恍惚，言语错谬，歌笑无度。|狐肉 不以多少及五脏|上件，如常法入五味，煮令烂熟，空心食之。
Bear Meat Gruel|It cures the various winds, [evil] foot qi numbness-insensitivity, and five-flaccidities tendon and muscle spasms.|Bear meat (one jin).|[To] ingredient add the five spices [to the bear meat] in fermented black beans. [Add] onions and sauce. Cook. When done eat on an empty stomach.|熊肉羹|治诸风，脚气，痹痛不仁，五缓筋急。|熊肉 一斤|上件，于豆豉中，入五味、葱、酱，煮熟，空腹食之。
Black Chicken Liquor|It cures apoplexy, paralysis and inability to speak, rigidity of the pupil of the eye, and fever accompanied by restlessness.|Black hen (one; pluck and wash clean. Remove the entrails).|Cook with ingredient five sheng of liquor. Take [reduce to] two sheng of liquor. Remove the dregs. Divide into three doses. Take one after the other. If the juice is exhausted and there is no time [to make more], decoct a gruel of green onions and sprouting ginger, and add it [to what is left]. Again take the juice.|乌鸡酒|治中风，背强，舌直不得语，目睛不转，烦热。|乌雌鸡 一只，撏洗净，去肠肚|上件，以酒五升，煮取酒二升，去滓。分作三服，相继服之。汁尽，无时熬葱白、生姜粥投之，盖覆取汁。
Sheep’s Stomach Gruel|It cures the various apoplexies.|Sheep’s stomach (one; wash clean), non-glutinous rice (two he), green onions (several), salted fruits (half a he), Chinese flower pepper [Sichuan Pepper] (Remove the closed up corns, roast to bring out the juice; 30 corns), sprouting ginger (two qian and a half. Cut up finely).|Combine six ingredients evenly and put inside the sheep’s stomach. Cook until overcooked. When done, flavor with the five spices. Eat on an empty stomach.|羊肚羹|治诸中风。|羊肚 一枚，洗净  粳米 二合  葱白数茎 豉 半合  蜀椒 去目，闭口者。炒出汗，三十粒 生姜 二钱半，细切|右六味拌匀，入羊肚内烂煮熟，五味调和，空心食之。
Kudzu Starch Gruel|It cures apoplexy, wind-heat of heart and spleen, indistinct speech, mental confusion, and hand and foot which do not obey.|Kudzu starch (half a jin; pound to get four liang of the starch), Schizonepeta tenuifolia herb (one liang), salted fruits (three he).|[Of] the three ingredients, first use water to boil the S. tenuifolia herb and the salted fruits. Bring to a boil six or seven times. Remove the dregs and take the juice. Then take the kudzu starch and make large rope noodles. Cook in the juice. When done, eat on an empty stomach.|葛粉羹|治中风，心脾风热，言语蹇涩，精神昏愦，手足不遂。|葛根 半斤，捣，取粉四两  荆芥穗 一两  豉 三合|右三味，先以水煮荆芥、豉，六七沸，去滓，取汁，次将葛粉作索面，于汁中煮熟，空腹食之。
Schizonepeta tenuifolia Congee|It cures apoplexy, indistinct speech, mental confusion and deviation of mouth and face.|S. tenuifolia herb (one liang), field mint leaves (one liang), salted fruits (three he), white millet seeds (three he).|Use four sheng of water [for] ingredients and cook down to three sheng. Remove the dregs. Add the grain and boil into a congee. Eat on an empty stomach.|荆芥粥|治中风，言语蹇涩，精神昏愦，口面 斜。|荆芥穗 一两  薄荷叶 一两  豉 三合  白粟米 三合|上件，以水四升，煮取三升，去滓，下米煮粥，空腹食之。
Hemp Seed Congee|It cures apoplexy, wind-heat of the five viscera, indistinct speech, hand and foot which do not obey, and obstruction of the large intestine.|Hemp seeds [Cannabis sativa] (two liang; roast; remove the skins and grind up), white millet grains (three he), field mint leaves (one liang), Schizonepeta tenuifolia herb (one liang).|[Of] ingredients, boil the field mint and S. tenuifolia herb in three sheng of water. Remove the dregs and take the juice. Add the hemp seed piths and boil everything together into a congee. Eat on an empty stomach.|麻子粥|治中风，五脏风热，语言蹇涩，手足不遂，大肠滞涩。|冬麻子 二两，炒，去皮，研  白粟米 三合  薄荷叶 一两  荆芥穗 一两|上件，水三升，煮薄荷、荆芥，去滓，取汁，入麻子仁同煮粥，空腹食之。
