Food_Name,Effect,Ingredients,Steps
小麦粥,用于治疗口渴、口干。,小麦 淘净，不以多少,右以煮粥，或炊作饭，空腹食之。
驴头羹,用于治疗中风引起的头晕、肢体无力、肌肉酸痛，言语不顺畅。,乌驴头 一枚， 洗净  胡椒 二钱  草果 二钱,上述食材，煮令烂熟，入豆豉汁中，五味调和，空腹食之。
驴肉汤,能够治疗精神紊乱、情绪不佳、安定心神。,乌驴肉 不以多少，切,上述食材，于豆豉中，烂煮熟，入五味，空心食之。
狐肉羹,适用于治疗抽搐、癫痫、意识模糊、言语混乱、情绪不稳，欣欣然，大笑不休等情况。,狐肉 不以多少及五脏,上述食材，如常法入五味，煮令烂熟，空心食之。
熊肉羹,能够治疗各种风湿疾病、脚气、关节疼痛、肌肉无力。,熊肉 一斤,上述食材，于豆豉中，入五味、葱、酱，煮熟，空腹食之。
乌鸡酒,适用于中风患者，症状包括背部僵硬、舌头不能正常言语、眼睛不会转动、感到烦躁和发热。,乌雌鸡 一只，撏洗净，去肠肚,上述食材，以酒五升，煮取酒二升，去滓。分作三服，相继服之。汁尽，无时熬葱白、生姜粥投之，盖覆取汁。
羊肚羹,用于治疗各种中风引起的症状。,羊肚 一枚，洗净  粳米 二合  葱白数茎 豉 半合  蜀椒 去目，闭口者。炒出汗，三十粒 生姜 二钱半，细切,将右边六种调料搅拌均匀，然后烹入羊肚中，煮至熟透，使五种味道和谐搭配，将羊肚的中空部分食用。
葛粉羹,用于治疗中风患者，尤其是那些受心脾风热困扰的人，可以改善言语困难、语言不流畅的情况，使精神状态恢复清晰，以及促进肢体恢复运动能力。,葛根 半斤，捣，取粉四两  荆芥穗 一两  豉 三合,使用右边三种食材，首先用水煮荆芥和豉豆，煮沸六七次，去除杂质，取汤，然后将葛粉做成索面，将其煮熟，空腹食用。
荆芥粥,适用于中风患者，表现为言语蹇涩、精神混乱、面部表情不正常。,荆芥穗 一两  薄荷叶 一两  豉 三合  白粟米 三合,上述食材，使用四升水，煮至三升，去除杂质，再用这个水煮粥，空腹食用。
麻子粥,适用于中风患者，伴有五脏风热，言语困难、肢体无力、大肠便秘。,冬麻子 二两，炒，去皮，研  白粟米 三合  薄荷叶 一两  荆芥穗 一两,上述食材，使用三升水，煮薄荷和荆芥，去除杂质，取汤，然后与麻子仁一起煮粥，空腹食用。
恶实菜,也叫牛蒡子，适用于中风患者，伴有干燥和发热，口干、四肢不灵活和皮肤溃疡。,恶实菜叶 肥嫩者  酥油上件,使用水煮恶实叶三到五升，取出，用新水淘洗，然后榨取汁液，加入五种调料，做成酥点食用。
乌驴皮汤,适用于中风患者，表现为肢体无力、关节骨痛、心燥、面部表情不正常。,乌驴皮 一张， 洗净,上述食材，蒸熟后切成细条，放入豉汁中，加入五种调料，煮烂，然后食用其中的空心部分。
羊头脍,适用于中风患者，表现为头晕、身体消瘦、四肢无力。,白羊头 一枚， 洗净,上述食材，蒸至烂熟，切细，然后混合五种调料，制成脍，空腹食用。
野猪,用于治疗长期痔疮和肛门出血无法止住的情况，肛门肿胀。,野猪肉 二斤，细切,上述食材，煮至烂熟，加入五种调料，然后食用其中的空心部分。
獭肝羹,用于治疗长期痔疮和不断出血的情况。,獭肝 一副,上述食材，煮熟后加入五种调料，空腹食用。
鲫鱼羹,适用于治疗长期痔疮、肠道气滞、大便中常有血。,大鲫鱼 一头，新鲜者，洗净，切作片  小椒 二钱，为末  草果 一钱，为末,上述食材，使用三茎葱，煮至熟透，加入五种调料，空腹食用。
