Food_Name,Effect,Ingredients,Steps
橘皮醒酲汤,用于治疗酒后醉酒，呕吐和酸反流。,香橙皮 一斤，去白  陈橘皮 一斤，去白  檀香 四两  葛花 半斤  绿豆花 半斤 人参 二两，去芦  白豆蔻仁 二两  盐 六两，炒,使用前述食材，制成细末，每日空腹喝一钱的白汤。
渴忒饼儿,有助于滋润口腔，缓解咳嗽。,渴忒 一两二钱  新罗参 一两，去芦  菖蒲 一钱，各为细末  白纳八 三两，研，系沙糖,使用前述食材，将渴望化成膏状，与其他药物末混合，制成饼状。每次食用一块，慢慢嚼化。
官桂渴忒饼儿,有助于滋润，缓解寒冷引起的咳嗽。,官桂 二钱，为末  渴忒 一两二钱  新罗参 一两二钱，去芦，为末  白纳八 三两，研,使用前述食材，将渴望用玫瑰水化成膏，混合药末，制成饼状。每次食用一块，慢慢嚼化。
答必纳饼儿,用于清洁头脑，净化咽喉，滋润口腔，治疗咳嗽。,答必纳 二钱为末，即草龙胆  新罗参 一两二钱，去芦，为末  白纳八 五两，研,使用前述食材，将渴望用赤赤哈纳（即北地酸角儿）熬成膏，混合药末，制成饼状。每次食用一块，慢慢嚼化。
橙香饼儿,有助于调整内脏，促进气息畅通，清理头脑。,新橙皮 一两，焙，去白  沉香 五钱  白檀 五钱  缩砂 五钱   白豆蔻仁 五钱  荜澄茄 三钱  南硼砂 三钱，别研  龙脑 二钱，别研  麝香 二钱，别研。,使用前述食材制成细末，与甘草膏混合制成饼状。每次食用一块，慢慢嚼化。
牛髓膏子,能够滋补精髓，增强筋骨，平衡血气，有助于延年益寿。,黄精膏 五两  地黄膏 三两  天门冬膏 一两  牛骨头内取油 二两,使用前述食材，将黄精膏、地黄膏、天门冬膏与牛骨油混合，每日空腹温酒调一匙头。
木瓜煎,,木瓜 十个，去皮穣，取汁，熬水尽  白沙糖 十斤，炼净,使用前述食材，混合熬制成煎剂。
香圆煎,,香圆 二十个，去皮取肉  白沙糖 十斤，炼净,使用前述食材，混合熬制成煎剂。
株子煎,,株子 一百个，取净肉  白沙糖 五斤，炼净,使用前述食材，混合熬制成煎剂。
紫苏煎,,紫苏叶 五斤  干木瓜 五斤  白沙糖 十斤，炼净,使用前述食材，混合熬制成煎剂。
金橘煎,,金橘 五十个，去子取皮  白沙糖 三斤,使用前述食材，混合熬制成煎剂。
樱桃煎,,樱桃 五十斤，取汁  白沙糖 二十五斤,使用前述食材，混合熬制成煎剂。
桃煎,,大桃 一百个，去皮，切片取汁  白沙蜜 二十斤，炼净,使用前述食材，混合熬制成煎剂。
石榴浆,,石榴子 十斤，取汁  白沙糖 十斤，炼净,使用前述食材，混合熬制成煎剂。
小石榴煎,,小石榴 二斗，蒸熟去子，研为泥  白沙蜜 十斤，炼净,使用前述食材，混合熬制成煎剂。
五味子舍儿别,,新北五味 十斤，去子，水浸取汁  白沙糖 八斤，炼净,使用前述食材，混合熬制成煎剂。
赤赤哈纳即酸刺,,赤赤哈纳 不以多少，水浸取汁,使用前述食材，将其放入银器中熬成膏状。
松子油,,松子 不以多少，去皮，捣研为泥,使用前述食材，将其绞碎并取出汁液，然后熬煮，将澄清的油滤净。再次熬煮至澄清。
杏子油,,杏子 不以多少，连皮捣碎,使用前述食材，用水煮沸，取出浮油，然后用细布滤净。再次熬煮成为油。
酥油,,,从牛乳中提取纯净的凝固物，经过熬煮成酥状。
醍醐油,,,取优质酥油，煎熬并过滤，贮存在大磁瓮中，冬天时，瓮中心不结冰的酥油被称为“醍醐”。
马思哥油,,,取新鲜的牛奶，不断搅拌，使用搅拌工具将牛奶搅拌均匀。搅拌后，将浮在上面的部分取出，这就是马思哥油。现在也叫做白酥油。
枸杞茶,,,准备干净的枸杞，用水清洗并去除浮麦，然后烘干。将筛子包在白布中，去掉蒂萼和黑色的部分，挑选出红色的成熟枸杞。首先使用雀舌茶展开，然后磨成细粉。每天取适量，混合酥油，加温水搅拌均匀，也可以用白汤代替。不要与酪（一种奶制品）一同食用。
玉磨茶,,上等紫笋五十斤，筛筒净，苏门炒米五十斤，筛筒净,将所有成分混合在一起，然后放入玉磨中，磨成茶状。
金字茶,江南湖州产的茶叶，被称为"进末茶"。,,
范殿帅茶,江浙庆元路制作的进茶芽，在味道和颜色方面胜过其他茶叶。,,
紫笋雀舌茶,新鲜嫩芽被蒸制成紫笋。不论是初春、次春还是探春，它们的味道都不及紫笋雀舌。,,
女须儿,这些茶叶产自直北地区，味道温和而甘甜。,,
西番茶,当产自本土时，它们带有苦涩的味道，适合用酥油煎煮。,,
川茶、藤茶、夸茶,这些茶叶主要产自四川、江浙、江西、广南和黑峪地区。,,
燕尾茶,,,
孩儿茶,,,
温桑茶,,,
清茶,,,先用水烧开，然后过滤掉茶芽，稍微煎熬。
炒茶,,,在铁锅中烧红，加入酥油、牛奶子和茶芽，一同炒制。
兰膏,,,取三匙头的玉磨末茶，与面粉和酥油混合成膏状，然后将其加入沸水中。
酥签,,,取两匙头的金字末茶，与酥油混合，加入沸水中。
建汤,,,取一匙头的玉磨末茶，研磨成细粉，加入砰水中。
香茶,,白茶 一袋  龙脑成片者 三钱  百药煎 半钱  麝香 二钱,将所有细粉混合，用香粳米熬成粥，然后制成饼状的食品。
